Food_code,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,Main_food_description,catnumb,catname,novaclass,macroclass
11114000,3.33,3.4,4.74,4.74,0.0,128.0,0.05,57.0,0.0,2.0,3.101,139.0,63.0,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat",1002,"Milk, whole",1,Milk
11114100,3.33,3.4,4.74,4.74,0.0,128.0,0.05,57.0,0.0,2.0,3.101,139.0,63.0,"Milk, cow's, fluid, filled with vegetable oil, whole",1002,"Milk, whole",1,Milk
11114200,3.41,1.08,4.91,4.91,0.0,121.0,0.03,53.0,0.0,2.0,0.916,170.0,43.0,"Milk, cow's, fluid, filled with vegetable oil, lowfat",1006,"Milk, lowfat",1,Milk
11114300,3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,"Milk, cow's, fluid, lactose reduced, 1% fat",1006,"Milk, lowfat",1,Milk
11114310,3.37,0.97,4.99,5.2,0.0,225.0,0.03,44.0,1.2,5.0,0.632,150.0,42.0,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",1006,"Milk, lowfat",1,Milk
11114320,3.37,0.08,4.96,5.09,0.0,122.0,0.03,42.0,1.2,2.0,0.056,156.0,34.0,"Milk, cow's, fluid, lactose reduced, nonfat",1008,"Milk, nonfat",1,Milk
11114321,3.4,0.18,4.85,4.85,0.0,204.0,0.04,52.0,1.2,2.0,0.117,166.0,35.0,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",1008,"Milk, nonfat",1,Milk
11114330,3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,"Milk, cow's, fluid, lactose reduced, 2% fat",1004,"Milk, reduced fat",1,Milk
11114350,3.15,3.25,4.8,5.05,0.0,113.0,0.03,43.0,1.3,10.0,1.865,132.0,61.0,"Milk, cow's, fluid, lactose reduced, whole",1002,"Milk, whole",1,Milk
11115000,3.31,0.88,4.79,4.79,0.0,116.0,0.05,105.0,0.0,4.0,0.548,151.0,40.0,"Buttermilk, fluid, nonfat",1008,"Milk, nonfat",1,Milk
11115100,3.31,0.88,4.79,4.79,0.0,116.0,0.05,105.0,0.0,4.0,0.548,151.0,40.0,"Buttermilk, fluid, 1% fat",1006,"Milk, lowfat",1,Milk
11115200,4.1,2.0,5.3,5.3,0.0,143.0,0.06,105.0,0.0,8.0,1.242,180.0,56.0,"Buttermilk, fluid, 2% fat",1004,"Milk, reduced fat",1,Milk
11115300,3.21,3.31,4.88,4.88,0.0,115.0,0.03,105.0,1.3,11.0,1.899,135.0,62.0,"Buttermilk, fluid, whole",1002,"Milk, whole",1,Milk
11116000,3.56,4.14,4.45,4.45,0.0,134.0,0.05,50.0,1.3,11.0,2.667,204.0,69.0,"Milk, goat's, fluid, whole",1002,"Milk, whole",1,Milk
11120000,3.26,0.07,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.043,158.0,33.0,"Milk, dry, reconstituted, NFS",1008,"Milk, nonfat",1,Milk
11121100,3.24,3.29,4.73,4.73,0.0,115.0,0.06,49.0,1.3,12.0,2.06,164.0,61.0,"Milk, dry, reconstituted, whole",1002,"Milk, whole",1,Milk
11121210,3.26,0.17,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.105,158.0,34.0,"Milk, dry, reconstituted, lowfat",1006,"Milk, lowfat",1,Milk
11121300,3.26,0.07,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.043,158.0,33.0,"Milk, dry, reconstituted, nonfat",1008,"Milk, nonfat",1,Milk
11122000,3.36,0.57,4.8,4.8,0.0,119.0,0.03,54.0,0.0,7.0,0.352,156.0,38.0,"Buttermilk, dry, reconstituted",1008,"Milk, nonfat",1,Milk
11210050,6.81,7.56,10.04,10.04,0.0,261.0,0.19,106.0,2.0,29.0,4.591,303.0,134.0,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",1002,"Milk, whole",2,Milk
11211050,6.81,7.56,10.04,10.04,0.0,261.0,0.19,106.0,2.0,29.0,4.591,303.0,134.0,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",1002,"Milk, whole",2,Milk
11211400,7.42,1.96,11.15,11.15,0.0,285.0,0.28,113.0,2.0,8.0,1.214,326.0,92.0,"Milk, evaporated, 2% fat (formerly NS as to dilution)",1004,"Milk, reduced fat",2,Milk
11212050,7.55,0.2,11.35,11.35,0.0,290.0,0.29,115.0,2.0,4.0,0.121,332.0,78.0,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)",1008,"Milk, nonfat",2,Milk
11220000,7.91,8.7,54.4,54.4,0.0,284.0,0.19,127.0,0.2,34.0,5.486,371.0,321.0,"Milk, condensed, sweetened (formerly NS as to dilution)",1202,"Flavored milk, whole",3,Other
11320000,2.63,1.48,4.99,3.67,0.2,118.0,0.43,47.0,1.0,0.0,0.205,122.0,44.0,"Milk, soy, ready-to-drink, not baby's",1404,Milk substitutes,4,Other
11320100,2.38,0.77,3.51,2.61,0.3,123.0,0.43,48.0,1.2,0.0,0.005,117.0,30.0,"Milk, soy, light, ready-to-drink, not baby's",1404,Milk substitutes,4,Other
11320200,2.47,0.04,4.14,3.65,0.2,116.0,0.35,57.0,1.0,0.0,0.0,105.0,28.0,"Milk, soy, nonfat, ready-to-drink, not baby's",1404,Milk substitutes,4,Other
11321000,2.26,1.53,9.95,7.86,0.4,121.0,0.48,53.0,1.0,0.0,0.24,143.0,63.0,"Milk, soy, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,4,Other
11321100,2.1,0.64,8.24,7.13,0.7,123.0,0.59,46.0,1.2,0.0,0.032,144.0,47.0,"Milk, soy, light, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,4,Other
11321200,2.47,0.04,8.51,3.65,0.2,116.0,0.35,57.0,1.0,0.0,0.0,105.0,44.0,"Milk, soy, nonfat, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,4,Other
11340000,1.6,2.0,5.3,5.3,0.0,82.0,0.1,55.0,1.1,0.0,0.254,150.0,46.0,"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate",1404,Milk substitutes,4,Other
11410000,3.98,1.15,18.64,18.64,0.0,138.0,0.06,53.0,0.6,5.0,0.742,177.0,99.0,"Yogurt, NS as to type of milk or flavor",1804,"Yogurt, lowfat and nonfat",4,Other
11411010,5.25,1.55,7.04,7.04,0.0,183.0,0.08,70.0,0.0,6.0,1.0,234.0,63.0,"Yogurt, plain, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",1,Other
11411100,3.47,3.25,4.66,4.66,0.0,121.0,0.05,46.0,0.1,13.0,2.096,155.0,61.0,"Yogurt, plain, whole milk",1802,"Yogurt, whole and reduced fat",1,Other
11411200,5.25,1.55,7.04,7.04,0.0,183.0,0.08,70.0,0.0,6.0,1.0,234.0,63.0,"Yogurt, plain, lowfat milk",1804,"Yogurt, lowfat and nonfat",1,Other
11411300,5.73,0.18,7.68,7.68,0.0,199.0,0.09,77.0,0.0,2.0,0.116,255.0,56.0,"Yogurt, plain, nonfat milk",1804,"Yogurt, lowfat and nonfat",1,Other
11420000,4.93,1.25,13.8,13.8,0.0,171.0,0.07,66.0,0.6,5.0,0.806,219.0,85.0,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",4,Other
11421000,4.84,3.14,13.54,13.54,0.0,168.0,0.07,65.0,0.6,10.0,1.981,215.0,100.0,"Yogurt, vanilla, lemon, or coffee flavor, whole milk",1802,"Yogurt, whole and reduced fat",4,Other
11422000,4.93,1.25,13.8,13.8,0.0,171.0,0.07,66.0,0.6,5.0,0.806,219.0,85.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11422100,4.93,1.25,13.8,5.43,0.0,171.0,0.07,66.0,0.0,5.0,0.752,219.0,86.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",1804,"Yogurt, lowfat and nonfat",4,Other
11423000,4.24,0.16,16.46,16.44,0.0,152.0,0.1,61.0,0.6,2.0,0.105,192.0,81.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11424000,3.86,0.18,7.5,7.5,0.0,143.0,0.12,59.0,0.6,2.0,0.116,177.0,43.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener",1804,"Yogurt, lowfat and nonfat",4,Other
11425000,3.53,0.0,23.53,14.97,1.2,88.0,0.42,135.0,0.6,1.0,0.0,339.0,112.0,"Yogurt, chocolate, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",4,Other
11426000,3.43,3.08,22.8,14.51,1.2,85.0,0.41,131.0,0.6,9.0,1.917,329.0,136.0,"Yogurt, chocolate, whole milk",1802,"Yogurt, whole and reduced fat",4,Other
11427000,3.53,0.0,23.53,14.97,1.2,88.0,0.42,135.0,0.6,1.0,0.0,339.0,112.0,"Yogurt, chocolate, nonfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11430000,4.37,1.08,19.05,19.05,0.0,152.0,0.07,58.0,0.6,4.0,0.697,195.0,102.0,"Yogurt, fruit variety, NS as to type  of milk",1804,"Yogurt, lowfat and nonfat",4,Other
11431000,4.28,3.2,18.64,18.64,0.0,149.0,0.07,57.0,0.7,9.0,2.015,191.0,119.0,"Yogurt, fruit variety, whole milk",1802,"Yogurt, whole and reduced fat",4,Other
11432000,4.37,1.08,19.05,19.05,0.0,152.0,0.07,58.0,0.6,4.0,0.697,195.0,102.0,"Yogurt, fruit variety, lowfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11432500,4.86,1.41,18.6,2.9,0.0,152.0,0.07,58.0,0.6,6.0,0.909,194.0,105.0,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",1804,"Yogurt, lowfat and nonfat",4,Other
11433000,4.4,0.2,19.0,19.0,0.0,152.0,0.07,58.0,0.6,2.0,0.119,194.0,95.0,"Yogurt, fruit variety, nonfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11433500,3.74,0.17,7.88,6.97,0.4,134.0,0.24,53.0,0.6,2.0,0.094,195.0,45.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",1804,"Yogurt, lowfat and nonfat",4,Other
11444000,4.49,2.91,18.92,18.66,0.2,150.0,0.13,56.0,0.6,4.0,0.839,201.0,117.0,"Yogurt, fruit and nuts, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",4,Other
11445000,4.49,2.91,18.92,18.66,0.2,150.0,0.13,56.0,0.6,4.0,0.839,201.0,117.0,"Yogurt, fruit and nuts, lowfat milk",1804,"Yogurt, lowfat and nonfat",4,Other
11446000,3.36,1.01,15.86,11.68,1.1,105.0,0.49,49.0,0.1,3.0,0.525,189.0,84.0,Fruit and lowfat yogurt parfait,1804,"Yogurt, lowfat and nonfat",4,Other
11459990,4.62,1.44,21.14,20.53,0.3,156.0,0.24,59.0,0.0,5.0,0.924,224.0,112.0,"Yogurt, frozen, NS as to flavor, NS as to type of milk",5802,Ice cream and frozen dairy desserts,4,Other
11460000,3.0,3.6,21.6,19.92,0.0,100.0,0.46,63.0,0.1,13.0,2.326,156.0,127.0,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk",5802,Ice cream and frozen dairy desserts,4,Other
11460100,3.0,3.6,21.6,19.24,2.3,100.0,0.46,63.0,0.1,13.0,2.272,234.0,127.0,"Yogurt, frozen, chocolate, NS as to type of milk",5802,Ice cream and frozen dairy desserts,4,Other
11460150,4.62,1.44,21.14,20.53,0.3,156.0,0.24,59.0,0.0,5.0,0.924,224.0,112.0,"Yogurt, frozen, NS as to flavor, lowfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460160,5.24,1.95,21.79,18.82,1.6,156.0,0.88,58.0,0.0,5.0,1.222,322.0,113.0,"Yogurt, frozen, chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460170,4.46,1.32,20.98,20.95,0.0,156.0,0.08,60.0,0.0,5.0,0.85,199.0,112.0,"Yogurt, frozen, flavors other than chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460190,4.41,0.43,24.8,21.68,0.9,156.0,0.06,69.0,0.0,3.0,0.271,259.0,121.0,"Yogurt, frozen, NS as to flavor, nonfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460200,4.4,0.8,19.7,12.61,2.0,159.0,0.04,81.0,0.0,4.0,0.505,339.0,107.0,"Yogurt, frozen, chocolate, nonfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460250,3.71,3.41,26.68,20.73,0.5,114.0,0.19,53.0,0.1,19.0,2.049,162.0,152.0,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",5802,Ice cream and frozen dairy desserts,4,Other
11460300,4.41,0.0,27.94,8.82,7.4,147.0,0.0,110.0,0.0,0.0,0.0,196.0,129.0,"Yogurt, frozen, flavors other than chocolate, nonfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11460400,4.4,0.8,19.7,12.61,2.0,159.0,0.04,81.0,0.0,4.0,0.505,339.0,107.0,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",5802,Ice cream and frozen dairy desserts,4,Other
11460410,4.4,0.8,19.7,12.61,2.0,159.0,0.04,81.0,0.0,4.0,0.488,339.0,104.0,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",5802,Ice cream and frozen dairy desserts,4,Other
11460420,3.0,3.6,21.6,19.78,0.5,100.0,0.46,63.0,0.1,13.0,2.315,172.0,127.0,"Yogurt, frozen, NS as to flavor, whole milk",5802,Ice cream and frozen dairy desserts,4,Other
11460430,3.0,3.6,21.6,19.24,2.3,100.0,0.46,63.0,0.1,13.0,2.272,234.0,127.0,"Yogurt, frozen, chocolate, whole milk",5802,Ice cream and frozen dairy desserts,4,Other
11460440,3.0,3.6,21.6,19.92,0.0,100.0,0.46,63.0,0.1,13.0,2.326,156.0,127.0,"Yogurt, frozen, flavors other than chocolate, whole milk",5802,Ice cream and frozen dairy desserts,4,Other
11461000,3.22,16.41,28.92,28.42,0.2,112.0,0.36,68.0,0.1,2.0,13.036,182.0,270.0,"Yogurt, frozen, chocolate-coated",5802,Ice cream and frozen dairy desserts,4,Other
11461100,4.93,11.37,31.39,26.26,0.9,179.0,0.52,91.0,0.1,2.0,9.154,306.0,244.0,"Yogurt, frozen, carob-coated",5802,Ice cream and frozen dairy desserts,4,Other
11461200,4.64,5.13,37.68,25.89,0.4,112.0,0.41,67.0,0.1,2.0,2.766,178.0,212.0,"Yogurt, frozen, sandwich",5802,Ice cream and frozen dairy desserts,4,Other
11461250,5.15,9.12,31.37,22.35,1.5,129.0,2.13,100.0,0.1,2.0,5.406,253.0,214.0,"Yogurt, frozen, cone, chocolate",5802,Ice cream and frozen dairy desserts,4,Other
11461260,4.48,5.38,31.5,24.2,0.2,131.0,0.8,107.0,0.1,2.0,3.073,203.0,189.0,"Yogurt, frozen, cone, flavors other than chocolate",5802,Ice cream and frozen dairy desserts,4,Other
11461270,5.42,1.86,11.27,6.98,0.2,174.0,0.29,81.0,0.0,6.0,1.013,227.0,84.0,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11461280,5.4,2.24,25.15,18.07,1.6,148.0,1.04,70.0,0.0,5.0,1.222,310.0,131.0,"Yogurt, frozen, cone, chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,4,Other
11480010,3.47,3.25,4.66,4.66,0.0,121.0,0.05,46.0,0.1,13.0,2.096,155.0,61.0,"Yogurt, whole milk, baby food",9010,Baby food: yogurt,4,Other
11480020,3.22,3.3,13.11,11.46,0.4,102.0,2.16,40.0,0.0,12.0,1.711,146.0,95.0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",9010,Baby food: yogurt,4,Other
11480030,3.05,3.08,13.0,11.46,0.6,98.0,4.18,38.0,0.0,10.0,1.582,143.0,92.0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",9010,Baby food: yogurt,4,Other
11480040,3.4,3.53,13.22,11.46,0.3,107.0,0.15,41.0,0.1,14.0,1.84,149.0,98.0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",9010,Baby food: yogurt,4,Other
11511100,3.17,3.39,10.34,9.54,0.8,112.0,0.24,60.0,1.3,12.0,2.104,167.0,83.0,"Milk, chocolate, whole milk-based",1202,"Flavored milk, whole",4,Other
11511200,2.99,1.9,12.13,9.55,0.7,109.0,0.24,66.0,1.2,8.0,1.177,169.0,76.0,"Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"")",1204,"Flavored milk, reduced fat",4,Other
11511300,3.42,0.28,10.94,10.15,0.5,115.0,0.28,39.0,1.1,2.0,0.176,185.0,56.0,"Milk, chocolate, skim milk-based",1208,"Flavored milk, nonfat",4,Other
11511400,3.24,1.0,10.44,9.94,0.5,116.0,0.27,61.0,1.1,3.0,0.616,170.0,63.0,"Milk, chocolate, lowfat milk-based",1206,"Flavored milk, lowfat",4,Other
11519105,3.05,1.83,12.08,11.4,0.4,164.0,0.03,49.0,1.1,8.0,1.124,130.0,77.0,"Milk, flavors other than chocolate, reduced fat milk-based",1204,"Flavored milk, reduced fat",4,Other
11531000,4.55,4.19,8.05,8.05,0.0,130.0,0.2,54.0,1.2,59.0,2.591,165.0,88.0,"Eggnog, made with whole milk",1402,Milk shakes and other dairy drinks,4,Other
11541510,3.68,0.39,21.58,20.62,1.0,130.0,0.04,58.0,0.1,3.0,0.247,183.0,96.0,"Milk shake, made with skim milk, flavors other than chocolate",1402,Milk shakes and other dairy drinks,4,Other
11542100,3.4,3.7,20.5,18.6,1.9,113.0,0.31,97.0,0.0,13.0,2.313,200.0,127.0,"Carry-out milk shake, chocolate",1402,Milk shakes and other dairy drinks,4,Other
11542200,3.37,6.52,19.59,13.63,0.9,115.0,0.46,81.0,0.0,23.0,3.962,166.0,148.0,"Carry-out milk shake, flavors other than chocolate",1402,Milk shakes and other dairy drinks,4,Other
11560000,0.64,0.4,10.68,8.68,0.6,100.0,0.33,91.0,1.3,0.0,0.31,79.0,49.0,"Chocolate-flavored drink, whey- and milk-based",1402,Milk shakes and other dairy drinks,4,Other
11611000,5.46,1.84,12.93,13.08,0.1,141.0,1.71,89.0,1.1,8.0,1.076,248.0,90.0,"Instant breakfast, fluid, canned",7208,Nutritional beverages,4,Other
11613000,5.74,2.15,7.59,7.65,0.2,148.0,0.2,95.0,1.1,10.0,1.23,260.0,73.0,"Instant breakfast, powder, sweetened with low calorie sweetener, milk added",7208,Nutritional beverages,4,Other
11622010,5.82,0.46,7.68,7.65,0.2,151.0,0.2,93.0,1.1,5.0,0.215,273.0,58.0,"Diet beverage, powder, reconstituted with skim milk",7208,Nutritional beverages,4,Other
11623000,3.5,1.4,10.9,10.9,0.0,80.0,1.44,170.0,1.1,2.0,0.255,182.0,70.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",7208,Nutritional beverages,4,Other
11631000,4.21,2.63,12.94,12.91,0.0,92.0,1.66,66.0,0.9,3.0,0.356,132.0,92.0,"High calorie beverage, canned or powdered, reconstituted",7208,Nutritional beverages,4,Other
11641000,5.7,2.2,13.0,13.0,0.0,94.0,1.55,86.0,0.3,0.0,0.36,193.0,94.0,"Meal supplement or replacement, milk-based, high protein, liquid",7208,Nutritional beverages,4,Other
11641020,5.7,2.2,13.0,13.0,0.0,94.0,1.55,86.0,0.3,0.0,0.36,193.0,94.0,"Meal replacement or supplement, milk based, ready-to-drink",7208,Nutritional beverages,4,Other
11710000,1.42,3.52,6.98,6.88,0.0,54.0,1.17,19.0,1.0,1.0,1.364,71.0,64.0,"Infant formula, NFS",9402,"Formula, ready-to-feed",4,Other
11710050,1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,66.0,"Similac Alimentum, with iron, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710051,1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,66.0,"Similac Alimentum, with iron, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710053,1.79,3.61,6.65,4.38,0.0,71.0,1.17,32.0,0.7,1.0,1.829,77.0,66.0,"Similac Alimentum, with iron, infant formula, prepared from powder",9404,"Formula, prepared from powder",4,Other
11710060,1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,"Similac Alimentum Advance, with iron, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710061,1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,"Similac Alimentum Advance, with iron, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710063,1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,"Similac Alimentum Advance, with iron, infant formula, prepared from powder",9404,"Formula, prepared from powder",4,Other
11710100,1.38,3.5,7.18,7.18,0.0,51.0,0.46,18.0,1.0,1.0,1.479,71.0,63.0,"Enfamil, low iron, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710101,1.38,3.5,7.18,7.18,0.0,51.0,0.46,18.0,1.0,1.0,1.479,71.0,63.0,"Enfamil, low iron, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710102,1.42,3.73,7.23,7.2,0.0,54.0,0.47,20.0,1.0,1.0,1.587,73.0,68.0,"Enfamil, low iron, infant formula, prepared from liquid concentrate",9406,"Formula, prepared from concentrate",4,Other
11710103,1.33,3.32,6.9,6.88,0.0,52.0,0.44,21.0,1.0,2.0,1.413,69.0,63.0,"Enfamil, low iron, infant formula, prepared from powder",9404,"Formula, prepared from powder",4,Other
11710200,1.36,3.55,6.93,6.93,0.0,51.0,0.14,16.0,1.0,2.0,1.237,69.0,65.0,"Similac, low iron, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710201,1.36,3.55,6.93,6.93,0.0,51.0,0.14,16.0,1.0,2.0,1.237,69.0,65.0,"Similac, low iron, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710202,1.35,3.52,7.04,7.04,0.0,52.0,0.46,18.0,1.0,2.0,1.228,69.0,65.0,"Similac, low iron, infant formula, prepared from liquid concentrate",9406,"Formula, prepared from concentrate",4,Other
11710203,1.39,3.7,7.01,7.0,0.0,55.0,0.47,20.0,1.0,2.0,1.264,71.0,67.0,"Similac, low iron, infant formula, prepared from powder",9404,"Formula, prepared from powder",4,Other
11710250,2.12,4.24,8.2,8.2,0.0,163.0,0.29,34.0,2.9,2.0,2.544,101.0,78.0,"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710251,2.12,4.24,8.2,8.2,0.0,163.0,0.29,34.0,2.9,2.0,2.544,101.0,78.0,"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710350,1.36,3.7,6.77,6.9,0.0,53.0,1.18,16.0,1.0,2.0,1.237,69.0,66.0,"Similac Advance, with iron, infant formula, NS as to form",9402,"Formula, ready-to-feed",4,Other
11710351,1.36,3.7,6.77,6.9,0.0,53.0,1.18,16.0,1.0,2.0,1.237,69.0,66.0,"Similac Advance, with iron, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,Other
11710352,1.36,3.54,6.96,6.96,0.0,52.0,1.18,18.0,1.0,2.0,1.235,69.0,65.0,"Similac Advance, with iron, infant formula, prepared from liquid concentrate",9406,"Formula, prepared from concentrate",4,Other
11710353,1.37,3.62,6.87,6.87,0.0,54.0,1.19,19.0,1.0,2.0,1.239,69.0,65.0,"Similac Advance, with iron, infant formula, prepared from powder",9404,"Formula, prepared from powder",4,Other
11710370,1.48,3.74,7.4,7.4,0.0,58.0,1.24,21.0,1.0,2.0,2.43,74.0,68.0,"Similac Sensitive, with iron, ARA and DHA, infant formula, NS as to form (formerly Lactose Free Advance ...)",9402,"Formula, ready-to-feed",4,Other
11710371,1.48,3.74,7.4,7.4,0.0,58.0,1.24,21.0,1.0,2.0,2.43,74.0,68.0,"Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance ...)",9402,"Formula, ready-to-feed",4,Other
11710372,1.4,3.56,6.98,7.05,0.0,57.0,1.19,22.0,1.0,2.0,2.313,71.0,65.0,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from liquid concentrate   (formerly Lactose Free Advance...)",9406,"Formula, prepared from concentrate",4,Other
11710373,1.44,3.64,7.2,7.2,0.0,59.0,1.21,24.0,1.2,2.0,2.369,72.0,67.0,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from powder   (formerly Lactose Free Advance ...)",9404,"Formula, prepared from powder",4,Other
